,iteration,epoch,avg_disc_loss,avg_ae_loss,avg_recon_loss,timeT,timeV
94,3,4,-0.1322,7339.9916,15136.7933,2.449,0.4806
95,3,5,-0.1735,7332.8355,15135.9288,2.4401,0.4758
96,3,6,-0.1539,7337.3909,15135.3896,2.415,0.48
97,3,7,-0.1135,7338.419,15135.8884,2.4219,0.4864
98,3,8,-0.1162,7336.1899,15135.4236,2.4262,0.4813
99,3,9,-0.2032,7336.2406,15134.3728,2.4307,0.4905
100,3,10,-0.1658,7336.2478,15135.5435,2.4148,0.4894
101,3,11,-0.1696,7338.0306,15137.9836,2.4177,0.4843
102,3,12,-0.1246,7338.2636,15136.4393,2.4157,0.4808
103,3,13,-0.1569,7334.9922,15136.759,2.4224,0.4809
104,3,14,-0.1665,7338.322,15136.1337,2.4312,0.4753
105,3,15,-0.1597,7339.119,15137.9282,2.4419,0.4901
106,3,16,-0.1419,7341.1147,15137.0819,2.4493,0.4755
107,3,17,-0.1463,7340.7776,15136.1665,2.439,0.4853
108,3,18,-0.1892,7334.6848,15137.0327,2.4504,0.4862
109,3,19,-0.1706,7338.6171,15135.9512,2.4439,0.4846
110,3,20,-0.1648,7339.8661,15133.6641,2.4357,0.4807
111,3,21,-0.1789,7341.2376,15138.2945,2.4142,0.4892
112,3,22,-0.1748,7341.3967,15135.3732,2.4064,0.486
113,3,23,-0.1867,7337.6936,15138.1755,2.4237,0.4789
114,3,24,-0.1438,7340.7059,15137.2234,2.4173,0.4773
115,3,25,-0.1355,7336.2705,15137.5422,2.4027,0.4799
116,3,26,-0.1813,7336.6653,15137.0399,2.4225,0.4802
117,3,27,-0.1268,7336.7752,15134.449,2.4169,0.4924
118,3,28,-0.1808,7336.3864,15134.7725,2.4446,0.4894
119,3,29,-0.1992,7336.2416,15135.0464,2.4472,0.4863
120,4,0,-0.1516,7387.5601,15229.6273,2.7747,0.5064
121,4,1,-0.21,7385.6078,15230.1859,2.7789,0.5034
122,4,2,-0.1937,7389.0839,15229.9131,2.7997,0.5081
123,4,3,-0.1648,7386.831,15228.8437,2.8027,0.5065
124,4,4,-0.1784,7385.3528,15230.9,2.7967,0.5186
125,4,5,-0.1386,7385.5925,15230.4757,2.7992,0.5033
126,4,6,-0.1311,7387.0422,15228.4198,2.7968,0.5083
127,4,7,-0.1379,7386.2159,15228.6312,2.7927,0.5076
128,4,8,-0.1781,7387.1425,15229.2424,2.7704,0.5049
129,4,9,-0.2013,7386.5954,15230.3823,2.7542,0.5061
130,4,10,-0.1346,7387.1102,15228.9104,2.7322,0.5037
131,4,11,-0.1644,7384.7478,15229.4202,2.7504,0.5088
132,4,12,-0.1735,7386.9854,15230.3381,2.7414,0.5075
133,4,13,-0.1531,7389.3851,15229.503,2.7487,0.5122
134,4,14,-0.1547,7388.5989,15229.7342,2.7564,0.5035
135,4,15,-0.1779,7387.7326,15228.9768,2.7492,0.5042
136,4,16,-0.1961,7386.4624,15229.6587,2.7437,0.5119
137,4,17,-0.1625,7388.8888,15228.6146,2.7548,0.5069
138,4,18,-0.1707,7389.4259,15229.3551,2.746,0.5136
139,4,19,-0.1952,7389.9031,15229.0211,2.7527,0.5076
140,4,20,-0.1904,7391.6223,15229.116,2.7499,0.501
141,4,21,-0.1201,7384.9543,15228.5046,2.7489,0.5062
142,4,22,-0.1426,7385.5695,15228.8543,2.7528,0.5072
143,4,23,-0.192,7386.2725,15227.9196,2.7442,0.5032
144,4,24,-0.1439,7384.6766,15228.5251,2.742,0.5116
145,4,25,-0.2158,7385.1239,15228.5673,2.743,0.5044
146,4,26,-0.1113,7389.3247,15229.6343,2.7454,0.4996
147,4,27,-0.178,7385.4188,15228.8537,2.7296,0.5037
148,4,28,-0.1406,7390.9231,15229.6795,2.77,0.5047
149,4,29,-0.1364,7389.0143,15230.8743,2.7488,0.5047
150,5,0,-0.1567,7496.3265,15468.8824,3.0803,0.5322
151,5,1,-0.2137,7490.134,15468.8823,3.0907,0.5423
152,5,2,-0.1922,7495.7559,15468.8825,3.0692,0.5303
153,5,3,-0.1563,7494.7119,15468.8823,3.0758,0.5291
154,5,4,-0.1693,7490.3855,15468.8824,3.107,0.5261
155,5,5,-0.1401,7494.6255,15468.8823,3.1139,0.5253
156,5,6,-0.1346,7491.4132,15468.8823,3.1004,0.519
157,5,7,-0.1937,7493.619,15468.8825,3.0561,0.5153
158,5,8,-0.1899,7492.5075,15468.8824,3.028,0.5097
159,5,9,-0.1469,7493.4536,15468.8823,3.0092,0.5041
160,5,10,-0.1588,7492.4105,15468.8826,3.0034,0.5018
161,5,11,-0.1818,7494.4403,15468.8824,3.0042,0.5074
162,5,12,-0.1616,7496.4836,15468.8825,3.0122,0.5135
163,5,13,-0.1739,7494.0244,15468.8822,2.9923,0.5129
164,5,14,-0.1938,7495.0878,15468.8824,3.0042,0.511
165,5,15,-0.17,7494.4199,15468.8823,3.0003,0.5072
166,5,16,-0.1969,7497.9269,15468.8821,3.0098,0.5076
167,5,17,-0.1815,7494.7659,15468.8822,3.0025,0.5052
168,5,18,-0.1592,7496.5588,15468.8824,3.0186,0.5092
169,5,19,-0.1373,7494.1371,15468.8825,2.9952,0.5052
170,5,20,-0.2071,7490.8298,15468.8823,2.991,0.5096
171,5,21,-0.1485,7492.3863,15468.8825,3.0096,0.5054
172,5,22,-0.2005,7492.1483,15468.8823,3.0124,0.5126
173,5,23,-0.1132,7495.4109,15468.8823,3.0029,0.5129
174,5,24,-0.1812,7493.5452,15468.8823,3.0036,0.5096
175,5,25,-0.1223,7498.3273,15468.8825,3.0206,0.5115
176,5,26,-0.1826,7494.8541,15468.8823,3.0248,0.5083
177,5,27,-0.2045,7493.3077,15468.8826,3.0256,0.5021
178,5,28,-0.1363,7494.0213,15468.8824,3.0182,0.5096
179,5,29,-0.1357,7496.1378,15468.8825,3.0001,0.51
180,6,0,-0.1672,7465.1887,15407.7363,3.3956,0.5312
181,6,1,-0.2133,7461.6746,15408.1839,3.428,0.527
182,6,2,-0.1833,7462.5138,15406.4706,3.397,0.536
183,6,3,-0.1591,7460.9395,15406.854,3.4011,0.5285
184,6,4,-0.1416,7464.2662,15407.1759,3.3871,0.5339
185,6,5,-0.1456,7461.6502,15408.6215,3.4206,0.5374
186,6,6,-0.1987,7462.5634,15407.0296,3.4096,0.5317
187,6,7,-0.1979,7461.1724,15406.566,3.4204,0.5342
188,6,8,-0.1478,7463.3944,15406.8862,3.4124,0.5379
189,6,9,-0.1818,7462.52,15407.5924,3.4238,0.5323
190,6,10,-0.1683,7464.9978,15406.7648,3.4212,0.5321
191,6,11,-0.1573,7466.7529,15406.425,3.419,0.5353
192,6,12,-0.2076,7461.1835,15407.663,3.418,0.5272
193,6,13,-0.1706,7465.0867,15406.4938,3.4088,0.5319
194,6,14,-0.1865,7466.2614,15407.6486,3.4203,0.5303
195,6,15,-0.195,7466.6792,15407.7985,3.4143,0.5324
196,6,16,-0.146,7463.3139,15407.1018,3.4087,0.5321
197,6,17,-0.1743,7461.878,15407.0409,3.417,0.5375
198,6,18,-0.1592,7461.5956,15407.1587,3.4223,0.5217
199,6,19,-0.2026,7461.2397,15406.6392,3.4187,0.538
200,6,20,-0.117,7464.2926,15406.9201,3.4086,0.5366
201,6,21,-0.1846,7463.6779,15407.6676,3.4113,0.5324
202,6,22,-0.1312,7466.1515,15406.8163,3.4241,0.5292
203,6,23,-0.1929,7463.2334,15407.4508,3.4165,0.5314
204,6,24,-0.1565,7466.6687,15406.9523,3.4212,0.5312
205,6,25,-0.1518,7461.6168,15407.4076,3.4131,0.5326
206,6,26,-0.1601,7461.2208,15406.6614,3.4204,0.543
207,6,27,-0.1238,7464.5449,15407.2686,3.4228,0.5314
208,6,28,-0.1245,7459.893,15408.1638,3.4125,0.5334
209,6,29,-0.1478,7465.1551,15406.3888,3.4081,0.5314
210,7,0,-0.1718,7434.4121,15323.0811,3.809,0.5528
211,7,1,-0.2115,7431.6453,15324.1966,3.7957,0.5559
212,7,2,-0.164,7433.2829,15323.0294,3.8051,0.5533
213,7,3,-0.1734,7430.2001,15323.0061,3.8264,0.564
214,7,4,-0.1435,7432.833,15323.6814,3.8628,0.5628
215,7,5,-0.186,7430.8994,15323.4148,3.8705,0.5567
216,7,6,-0.1889,7432.1408,15323.1355,3.8589,0.5624
217,7,7,-0.1583,7432.1919,15323.4153,3.8685,0.5681
218,7,8,-0.1721,7432.3371,15321.8688,3.8559,0.5689
219,7,9,-0.18,7434.9497,15322.4996,3.8531,0.5685
